Headword,Headword_Data,Definitions,Occurrences in the Aeneid
"vānus, a, um","vanus, a, um","(adj.), containing nothing, empty; devoid of truth, deceitful, false, 1.352; unavailing, 8.259; groundless, 4.12; ignorant, 10.631; subst., vāna, ōrum, n., useless things, 2.287; (adv.), vāna, vainly, 11.854.",1
"vapor, ōris, m.","vapor, oris, m.","vapor, steam, 7.466; fiery vapor; fire, 5.683.",3
"vapōrō, āvī, ātus, 1, n. and a.","vaporo, avi, atus, 1, n. and a.","to send out steam; to fumigate; perfume, 11.481. (vapor)",1
"variō, āvī, ātus, 1, a. and n.","vario, avi, atus, 1, a. and n.","a., to diversify; exchange, relieve, 9.164; n., change, waver, 12.223. (varius)",2
"varius, a, um","varius, a, um","(adj.), diversified, manifold, various, 5.605, et al.; different, 4.286; mingled, 11.475; varying, 1.748; changing, 4.564; subst., varium, iī, n., a changeable, fickle, inconstant thing, 4.569.",41
"vāstātor, ōris, m.","vastator, oris, m.","ravager, destroyer, 9.772. (vāstō)",1
"vāstō, āvī, ātus, 1, a.","vasto, avi, atus, 1, a.","to make void or empty; to desolate, lay waste, ravage, devastate, 1.471, et al.; deprive of, strip, rob, with acc. and abl., 8.8. (vāstus)",4
"vāstus, a, um","vastus, a, um","(adj.), empty, void, wild, waste, 9.323; vast, unbounded, 1.118; huge, enormous, immense, 3.647; deep-, vast-, sounding, 1.245.",46
"vātēs, is, c.","vates, is, c.","a prophet, soothsayer, augur, seer, 3.433; prophetess, 3.187; poet, bard, 6.662; priest, 11.774.",36
"ūber, eris, n.","uber, eris, n.","a teat, an udder, 3.392; the breast, 5.285; breast, bosom, 3.95; (meton.), richness, fertility, fruitfulness, productiveness, 1.531.",10
"ūber, eris","uber, eris","(adj.), fruitful, fertile, 3.106. (compar., ūberior; superl., ūberrimus), (ūber)",4
ubī,ubi,"(adv. of place and time; relat.), where; (indefinite), wheresoever, 7.400; (interrog.), where, 3.312, et al.; (of time), when; whenever, 4.143, et al.; as soon as, 1.81; in comparison, 2.471; 7.719, et al.",69
ubīque,ubique,"(adv. of place), wheresoever; anywhere, 1.601; everywhere, 2.368.",5
"ūcalegōn, ontis, m.","ucalegon, ontis, m.","a Trojan; (meton.), the house of Ucalegon, 2.312.",1
"ūdus, a, um","udus, a, um","adj. (ūvidus, moist), wet, moist, 5.357.",4
-ve,-ve,"(conj. enclit.), usually appended to the first word in the clause or phrase, or freq.; ve — ve, either — or, both — and, 10.150.",79
"vectis, is, m.","vectis, is, m.","a pole, lever, bar, bolt, 7.609. (vehō)",1
"vectō, āvī, ātus, 1, intens. a.","vecto, avi, atus, 1, intens. a.","to convey, 6.391. (vehō)",2
"vehō, vexī, vectus, 3, a. and n.","veho, vexi, vectus, 3, a. and n.","to carry, 1.113, et al.; bring, usher in, 5.105; (pass.), vehor, vectus sum, to be carried, fly, 7.65; with or without equō, nāvibus, etc., to ride, go, sail, 1.121; 12.162; with acc., sail over, 1.524.",24
vel,vel,"(conj.), or implying indifference as to the alternative or choice, or, freq.; even, or whether, and, 6.769; vel — vel, either — or, 4.24, 25, et al.",24
"vēlāmen, inis, n.","velamen, inis, n.","a veil, 1.649; a covering, garment, vestment, 6.221. (vēlō)",3
"Velīnus, ī, m.","Velinus, i, m.","a lake in the country of the Sabines, 7.517.",2
"Velīnus, a, um","Velinus, a, um","adj. (Velia), of Velia, a town on the western coast of Lucania; Velian, 6.366.",1
"vēlivolus, a, um","velivolus, a, um","adj. (vēlum and volō), sail-flying, sail-covered, 1.224.",1
"vellō, vellī or vulsī, vulsus, 3, a.","vello, velli or vulsi, vulsus, 3, a.","to pluck; pull up, 3.28; wrench, tear away, 2.480; tear down, 9.506; move, 11.19; seize, lift, 10.381; vellere sīgna, pluck up the standards from the ground; move the camp, depart.",10
"vellus, eris, n.","vellus, eris, n.","a fleece, 6.249; woolen band or fillet, 4.459; skin, 7.95.",3
"vēlō, āvī, ātus, 1, a.","velo, avi, atus, 1, a.","to veil, 3.405; cover, clothe; bind around, wreathe, crown, 5.72; festoon, adorn, 2.249; to shade by bearing in the hand, 7.154; 11.101. (vēlum)",15
"vēlōx, ōcis","velox, ocis","(adj.), swift, fleet, 4.174; quick, ready, 5.444.",6
"vēlum, ī, n.","velum, i, n.","a cloth; sail, 1.103, et al.; a curtain, canvas, covering, 1.469.",32
velut (velutī),velut (veluti),"(adv.), even as, like, as it were, as, just as, as if, 1.82, et al. (vel and ut)",27
"vēna, ae, f.","vena, ae, f.","a vein, 4.2.",2
"vēnābulum, ī, n.","venabulum, i, n.","a hunting-spear, 4.131. (vēnor)",2
"vēnor, ātus sum, 1, dep. n. and a.","venor, atus sum, 1, dep. n. and a.","to hunt, 4.117.",2
"vēnātor, ōris, m.","venator, oris, m.","a huntsman, 11.678; vēnātor canis, a hunting-dog, 12.751. (vēnor)",2
"vēnātrīx, īcis, f.","venatrix, icis, f.","a huntress, 1.319; adj., 11.780. (vēnor)",3
"vēnātus, ūs, m.","venatus, us, m.","a hunting, the chase, 7.747; the spoils of the chase, 9.407. (vēnor)",5
"vēndō, didī, ditus, 3, a.","vendo, didi, ditus, 3, a.","to offer for sale; to sell, 1.484; betray, 6.621.(vēnum, sale, and dō)",2
"venēnum, ī, n.","venenum, i, n.","a poisonous drug; poison, venom, 2.221; a charm, drug, 7.190; poison of love, 1.688.",9
"venerābilis, e","venerabilis, e","adj. (veneror), deserving of respect; venerable, venerated, revered, 6.408; sacred; 12.767.",2
"veneror, ātus sum, 1, dep. a.","veneror, atus sum, 1, dep. a.","to venerate, reverence, revere, 3.79; adore, worship, 5.745; bow before, kneel at, 12.220; p., venerātus, a, um, (pass.), supplicated, entreated, 3.460.",1
"venia, ae, f.","venia, ae, f.","favor, 4.50; mercy, kindness, 4.435; forbearance, indulgence, concession, 10.626; grace, favor, 11.101; relief, help, 1.519.",9
"Venīlia, ae, f.","Venilia, ae, f.","a nymph, mother of Turnus, 10.76.",1
"veniō, vēnī, ventus","venio, veni, ventus","to come, freq.; come forth; approach, 6.755; rise, appear, 1.353; dawn, 10.241; to present one's self or itself, 5.344; descend, spring from, 5.373; impers., ventum est, we, they came or have come, 4.151.",122
"venter, tris, m.","venter, tris, m.","the belly, 3.216; (fig.), hunger, 2.356.",2
"ventōsus, a, um","ventosus, a, um","adj. (ventus), windy, stormy, 6.335; fleeting, unreal, inflated, windy, noisy, 11.390; empty, vain boasting, 11.708; fleet as the wind, 12.848.",5
"ventūrum, ī, n.","venturum, i, n.","that which is to come, the future, futurity, 6.66. (veniō)",2
"ventus, ī, m.","ventus, i, m.","wind, 1.43, et al.; blast, 2.649.",87
"Venulus, ī, m.","Venulus, i, m.","a Latin messenger, 8.9.",3
"Venus, eris, f.","Venus, eris, f.","Venus, goddess of love and beauty, identified by the Romans with Aphrodite, daughter of Jupiter and Dione, 1.411, et al.; (meton.), love, lust, 6.26.",34
"vepres, is, m.","vepres, is, m.","a thorn, brier, bramble, 8.645.",1
"verbēna, ae, f.","verbena, ae, f.","laurel, olive, or myrtle boughs for the altar; sacred boughs. (usually in the plural)",1
"verber, eris, n.","verber, eris, n.","a lash, whip; a stripe, blow, 6.558, et al.; flapping, beating, 12.876.",7
"verberō, āvī, ātus, 1, a.","verbero, avi, atus, 1, a.","to lash, beat, strike, 3.423, et al. (verber)",6
"verbum, ī, n.","verbum, i, n.","a word, 1.710, et al.",23
vērē,vere,"(adv.), truly, correctly, 6.188. (vērus)",2
"vereor, itus sum, 2, dep. a. and n.","vereor, itus sum, 2, dep. a. and n.",to fear.,4
"vergō, 3, a. and n.","vergo, 3, a. and n.","to incline; go down, sink, 12.727.",1
vērō,vero,"(adv.), in truth; in fact, but in fact, but, 2.438, et al. (vērus)",26
"verrō, no perf., versus, 3, a.","verro, no perf., versus, 3, a.","to sweep; snatch, bear, sweep away, 1.59; sweep over, 3.208.",7
"versicolor, ōris","versicolor, oris","adj. (versō and color), of various colors, particolored, 10.181.",1
"versō, āvī, ātus, 1, freq. a.","verso, avi, atus, 1, freq. a.","to turn much; writhe, 11.753; turn, 5.408; handle, wield, 9.747; to buffet, drive, beat round and round, 5.460; drive to and fro, 12.664; toss about, 6.362; turn, hurry, 4.286; involve in or distract with, 7.336; with or without mente, pectore, etc., revolve, meditate, devise, consider, 1.657. (vertō)",20
"versus, ūs, m.","versus, us, m.","a turning; a verse or line of poetry; a rank, row, tier of oars, 5.119. (vertō)",1
"vertex, icis, m.","vertex, icis, m.","a whirl; whirlpool, 7.567; vortex, 1.117; whirling column of flame, 12.673; the top, crown of the head, the head, 1.403; summit, top, 1.163; mountain summit, height, 3.679; ā vertice, from on high, from above, 1.114. (vertō)",40
"vertō, vertī, versus, 3, a. and n.","verto, verti, versus, 3, a. and n.","a., to turn, freq.; turn round, 12.462; turn back, put to flight, 10.512; turn toward, send to, 11.798; direct, 3.146; transfer, 11.282; reverse, 8.210; upturn, invert, 1.478; turn out, empty, drain, 9.165; overthrow, destroy, 1.20; subvert, 11.264; change, 1.237; transform, 12.891; sē vertere, to change; to be directed, to result, issue, tend, 1.671; (pass.), vertī, of the heavens, to turn round, revolve, 2.250; of the year or seasons, to come round, revolve, return, 5.526; to move about, career about, 11.683; to turn upon, depend on, 10.529; to move, be conducted, 7.101; n., to turn, be transformed, changed.",73
"verū, ūs, n.","veru, us, n.","a spit, 1.212; a slender, tapering lance; spit-dart, 7.665.",3
"vērum, ī, n.","verum, i, n.","that which is true; truth, justice, right, 2.141.",9
vērum,verum,"but indeed, but yet, yet, but, 3.670, et al.",5
"vērus, a, um","verus, a, um","(adj.), true, freq.; real, 1.405; vērius est, it is or would be more just, 12.694.",1
"vēsānus, a, um","vesanus, a, um","insane, mad, furious, 9.340.",3
"vescor, 3, dep. n. and a.","vescor, 3, dep. n. and a.","(with abl., or absolute); to feed upon, 3.622; breathe, 1.546; banquet, feast, 6.657.",5
"vesper, eris or erī, m.","vesper, eris or eri, m.","the evening; the evening star; the west, 5.19; personif., Vesper, Hesperus, 1.374, et al.",1
"Vesta, ae, f.","Vesta, ae, f.","Vesta, daughter of Saturn, and granddaughter of Vesta, wife of Coelus; goddess of the hearth and household, 2.296, et al.; (meton.), the hearth, the fire.",5
"vester, tra, trum","vester, tra, trum","possessive pron. (vōs), your, yours, 1.573, et al.",33
"vestibulum, ī, n.","vestibulum, i, n.","entrance, porch, portal, vestibule, 2.469, et al.",5
"vestīgium, iī, n.","vestigium, ii, n.","a footstep; step, 2.711; footprint, track, 8.209; course, 5.592; footprint or foot; foot or hoof, 5.566; trace, 3.244; sign, vestige, 4.23. (vestīgō)",24
"vestīgō, 1, a.","vestigo, 1, a.","to track; trace, explore, search; seek out, hunt, 12.467; 6.145; descry, 12.588.",6
"vestiō, īvī or iī, ītus, 4, a.","vestio, ivi or ii, itus, 4, a.","to clothe; (fig.), deck, array, cover, clothe, 6.640, et al. (vestis)",2
"vestis, is, f.","vestis, is, f.","a garment, freq.; robe, 6.645; vestment, 1.404; clothing, 6.359; covering, drapery, tapestry, 1.639.",32
"Vesulus, ī, m.","Vesulus, i, m.","a mountain in the Maritime Alps, west of Liguria, 10.708.",1
"vetus, eris","vetus, eris","(adj.), old, aged, freq.; ancient, early, former, 1.23, et al.",3
"vetitum, ī, n.","vetitum, i, n.","that which is forbidden; a prohibition, 10.9. (vetō)",1
"vetō, uī, itus, 1, a.","veto, ui, itus, 1, a.","to prohibit, 1.39; with infin., to forbid, 1.541; (with acc.), oppose, 2.84.",10
"vetustās, ātis, f.","vetustas, atis, f.","oldness; age, antiquity; length of time, duration, continuance, 3.415; period, length of time, 10.792. (vetus),",3
"vetustus, a, um","vetustus, a, um","old, ancient, 2.713. (vetus)",6
"vexō, āvī, ātus, 1, intens. a.","vexo, avi, atus, 1, intens. a.","harass, 4.615. (vehō)",1
"ūfēns, entis, m.","ufens, entis, m.","1. A river of Latium flowing into the sea west of Terracina, 7.802. 2. A chief of the Aequi, 7.745, et al.",6
"via, ae, f.","via, ae, f.","a highway, road, path, 1.401, et al.; limit, tropic, zodiac, 6.796; course, 5.28; voyage, wandering, 3.714; passage, entrance, 2.494; method, way, means, 12.405. (vehō)",78
"viātor, ōris, m.","viator, oris, m.","a wayfarer, traveler, 5.275. (via)",2
"vibrō, āvī, ātus, 1, a. and n.","vibro, avi, atus, 1, a. and n.","a., to cause to move tremulously; to dart, flash, 8.524; to move to and fro, brandish, 11.606; curl, 12.100; n., vibrate, 2.211; quiver, 10.484; glitter, flash, 9.769.",2
"vīcīnus, a, um","vicinus, a, um","adj. (vīcus, village), of the same district or village; neighboring, near, 3.382.",6
"vicis, gen. f.","vicis, gen. f.","a change, turn in affairs; stage, interchange, 6.535; vicissitude, event, 3.376; combat, encounter, peril, 2.433, part, place, post, 3.634; watch, guard, 9.175. (nom. sing. wanting)",8
vicissim,vicissim,"(adv.), in turn, 4.80; in one’s turn, on one’s part, 6.531. (vicis)",6
"victima, ae, f.","victima, ae, f.","an animal offered in sacrifice; a victim, 12.296.",1
"victor, ōris, m.","victor, oris, m.","a conqueror, victor, freq.; as adj., successful, 3.439; in triumph, 2.329; with success, 8.50; victorious, 1.192. (vincō)",55
"victōria, ae, f.","victoria, ae, f.","victory, 2.584; personified, Victory, 11.436. (victor)",7
"victrīx, īcis, f.","victrix, icis, f.","a female conqueror; in triumph, 7.544; as adj., victorious, 3.54. (vincō)",1
"vīctus, ūs, m.","victus, us, m.","a living; nourishment, sustenance, food, 1.214. (vīvō)",4
"videō, vīdī, vīsus (interrog. viden’ for vidēsne, 6.779), 2, a.","video, vidi, visus (interrog. viden’ for videsne, 6.779), 2, a.","to see or perceive, in all senses of the words, freq.; see to it, look to it; determine, 10.744; (pass.), vidērī, to be seen, 2.461, et al.; to seem, appear, 1.396, et al.; (impers.), vidētur, vīsum est, it seems to one, seems good, proper, is the will of; one thinks, judges, 2.428, et al.",214
"viduō, āvī, ātus, 1, a.","viduo, avi, atus, 1, a.","to bereave, with acc. and abl., 8.571. (viduus)",1
"vigeō, 2, n.","vigeo, 2, n.","to be active, lively, vigorous; to flourish, be strong, 2.88; excel, 4.175.",2
"vigil, ilis","vigil, ilis","adj. (vigeō), awake, on the watch; sleepless, 4.182; perpetual, 4.200; subst., vigil, ilis, m., a watchman, guard, sentinel, 2.266, et al.",2
"vigilō, āvī, ātus, 1, n. and a.","vigilo, avi, atus, 1, n. and a.","n., to be awake, watch, 10.228; wake up, awake, 4.573; a., to watch against, look out for, guard against; p., vigilāns, antis, watchful, 5.438. (vigil)",5
vīgintī,viginti,"(num. adj. indecl.), twenty, 1.634.",2
"vigor, ōris, m.","vigor, oris, m.","activity, force, vigor, energy, 6.730. (vigeō)",2
"vīlis, e","vilis, e","(adj.), of small value; cheap, worthless, insignificant, base, inferior, 11.372.",1
"villōsus, a, um","villosus, a, um","adj. (villus), shaggy, hairy, 8.177.",2
"villus, ī, m.","villus, i, m.","shaggy hair, 5.352; nap, 1.702.",2
"vīmen, inis, n.","vimen, inis, n.","a flexible twig; osier, sprout, shoot, sprig, stem, 3.31.",3
"vinciō, vinxī, vinctus, 4, a.","vincio, vinxi, vinctus, 4, a.","to bind, 11.81; bind round, 1.337; wreathe, bind round, 12.120.",4
"vincō, vīcī, victus, 3, a. and n.","vinco, vici, victus, 3, a. and n.","a., to conquer, 1.529, et al.; slay, 10.842; overcome, overpower, overwhelm, 1.122; dispel, 1.727; win, possess, 6.148; persuade, 2.699; n., to be victorious, gain the victory, conquer, 11.712.",59
"vinculum (vinclum), ī, n.","vinculum (vinclum), i, n.","that which serves for binding; a chain, 6.395; fetter, bond, 1.54; a rope, cable, 1.168; 2.236; cord, 5.510; a halter, 11.492; morally, a bond, tie, 4.16; pl., vincula or vincla, ōrum, n., gauntlets, 5.408; a sandal, 4.518; (fig.), constraint, compulsion, 7.203. (vinciō)",22
"vindicō, āvī, ātus, 1, a.","vindico, avi, atus, 1, a.","to claim or get by legal process; claim; rescue, save, 4.228. (vindex, defender)",1
"vīnum, ī, n.","vinum, i, n.","wine, 1.195, et al.",20
"viola, ae, f.","viola, ae, f.","a violet, 11.69.",1
"violābilis, e","violabilis, e","adj. (violō), that may be violated; violable; nōn violābile, inviolable, 2.154.",1
"violentia, ae, f.","violentia, ae, f.","violence, 11.354; fierceness, impetuosity, fire, passion, fury, rage, 12.9. (violentus)",4
"violentus, a, um","violentus, a, um","adj. (vīs), having much or excessive force; violent, impetuous, 6.356.",2
"violō, āvī, ātus, 1, a.","violo, avi, atus, 1, a.","to exercise force upon; hurt, wound, 11.277; break, 7.114; devastate, 11.255; desecrate, profane, 2.189; stain, 12.67. (vīs)",9
"vīpereus, a, um","vipereus, a, um","adj. (vīpera, viper), pertaining to vipers or snakes; viperous, snaky, 6.281.",3
"vir, virī, m.","vir, viri, m.","a man as distinguished by sex, 9.479, and freq.; husband, 2.744; hero, 6.415; pl., virī, ōrum, comrades, friends, 2.668; citizens, 1.264; people in general, 1.532.",170
"virāgō, inis, f.","virago, inis, f.","a woman of masculine spirit; a heroine, warlike maid, 12.468. (cf. vir)",1
"Virbius, iī, m.","Virbius, ii, m.","a Latin hero, son of Hippolytus and Aricia, 7.762.",2
"virectum, ī, n.","virectum, i, n.","a green or grassy spot; a lawn or meadow, 6.638. (vireō)",1
"vireō, uī, 2, n.","vireo, ui, 2, n.","to be green, 6.206, et al.; p., virēns, entis, green, 6.679.",1
"virga, ae, f.","virga, ae, f.","a twig, bough, branch, 6.144; a wand (the caduceus of Mercury), 4.242. (vireō)",5
"virgātus, a, um","virgatus, a, um","adj. (virga), made of twigs; of basketwork; checkered or striped; plaid-, 8.660.",1
"virgeus, a, um","virgeus, a, um","adj. (virga), of twigs, rods, osiers; of brushwood, 7.463.",1
"virgineus, a, um","virgineus, a, um","adj. (virgō), pertaining to a virgin; of a virgin, of virgins; a maiden's, 11.68; maiden-, virgin-, 2.168.",5
"virginitās, ātis, f.","virginitas, atis, f.","virginity, 12.141. (virgo)",3
"virgō, inis, f.","virgo, inis, f.","a maiden, virgin, freq.; virgin daughter, 2.403; virgin child, 11.565; the transformed virgin, Io, 7.791.",47
"virgultum, ī, n.","virgultum, i, n.","(used only in the plural) a growth of brambles; a thicket, grove, 12.522; shrubs, 3.23; shoots or sprigs, 12.207. (virga)",6
"viridāns, antis","viridans, antis","green, grassy, verdant, 5.388; mossy, 8.630. (viridō)",2
