Headword,Headword_Data,Definitions,Occurrences in the Aeneid
"Numitor, ōris, m.","Numitor, oris, m.","1. Numitor, one of the kings of Alba, and father of Ilia or Rhea Silvia, 6.768. 2. A Rutulian warrior, 10.342.",2
numquam,numquam,"(adv.), never, freq. (nē and umquam)",12
nunc,nunc,"(adv.), now, at this time, 4.283; even now; in our times, at the present time, 6.234.",216
"nūntia, ae, f.","nuntia, ae, f.","a messenger, 4.188.",1
"nūntiō, āvī, ātus, 1, a. and n.","nuntio, avi, atus, 1, a. and n.","to announce, report, make known, announce, declare, 1.391, et al. (nūntius)",2
"nūntium, i, n.","nuntium, i, n.","an announcement, message, news.",1
"nūntius, iī, m.","nuntius, ii, m.","a messenger, 3.310; a message, dispatch, tidings; injunction, command, 4.237.",13
"nūntius, a, um","nuntius, a, um","(adj.), announcing.",1
nūper,nuper,"(adv.), recently, not long since, lately, 6.338. (novus and -per)",3
"Nursia, ae, f.","Nursia, ae, f.","a Sabine town, 7.716.",1
"nurus, ūs, f.","nurus, us, f.","a daughter-in-law, 2.501.",4
nūsquam,nusquam,"(adv.), nowhere, 2.620; sometimes transf. to time; on no occasion; never, 5.853. (nē and ūsquam)",6
"nūtō, āvī, ātus, 1, intens. n.","nuto, avi, atus, 1, intens. n.","to nod; sway to and fro, 2.629; move, wave, 9.682. (nuō, nod)",2
"nūtrīmentum, ī, n.","nutrimentum, i, n.","nourishment; fuel, 1.176. (nūtriō)",1
"nūtriō, īvī or iī, ītus, 4, a.","nutrio, ivi or ii, itus, 4, a.","to nourish, suckle, 11.572; breed, rear, train, 7.485.",3
"nūtrīx, īcis, f.","nutrix, icis, f.","a nurse, 1.275. (nūtriō)",5
"nūtus, ūs, m.","nutus, us, m.","a nod, 9.106; will, decree, command, pleasure, 7.592. (nuō, nod)",3
"nympha, ae, f.","nympha, ae, f.","a bride, a maiden; a nymph, one of the inferior deities, presiding over fountains, woods, etc., 1.71, et al.",6
"Nӯsa, ae, f.","Nӯsa, ae, f.","a city on Mount Meros in India, which, according to one of the myths, was the birthplace of Bacchus, 6.805.",1
ō,o,"(interj. expressing joy, grief, astonishment, desire, or indignation), O! oh! ah! w. voc., 2.281, et al.; w. sī and the subj., oh that, 11.415; sometimes placed after the word to which it relates, 2.281.",108
